date,trip_count,avg_fare,avg_distance,avg_passenger_count,total_revenue,day_of_week,day_name,month,month_name
2024-06-14,119335,18.90970695940001,4.423715171575816,1.3376364798162674,2256589.88,4,Friday,6,June
2024-06-15,111428,18.963978802455397,3.4745749721793446,1.421773707798638,2113118.23,5,Saturday,6,June
2024-06-16,101394,20.9069595834073,6.317525001479377,1.4034605135510174,2119840.26,6,Sunday,6,June
2024-06-17,97253,19.419558471203974,3.606645244876765,1.302226722900415,1888610.32,0,Monday,6,June
2024-06-18,118423,18.93857806338296,4.0969515212416505,1.2835555721793122,2242763.23,1,Tuesday,6,June
2024-06-19,100149,18.76148428841027,3.949708334581474,1.3318838296307967,1878943.89,2,Wednesday,6,June
2024-06-20,120852,19.8744860656009,5.034784033363121,1.3010729381163975,2401871.39,3,Thursday,6,June
2024-06-21,115148,19.510863410567268,4.328534060513426,1.3633440514469453,2246636.9,4,Friday,6,June
2024-06-22,113914,18.66680978633004,3.6084220552346506,1.4461902669010709,2126410.97,5,Saturday,6,June
2024-06-23,99027,20.14642148101023,6.170272652912842,1.4168507664562668,1995039.68,6,Sunday,6,June
2024-06-24,106235,21.07188497199605,9.269566621170048,1.3095522880534531,2238571.7,0,Monday,6,June
2024-06-25,122621,20.365361153472897,4.196657750303782,1.2863505346350534,2497220.95,1,Tuesday,6,June
2024-06-26,128741,20.320590177177433,5.430080549319952,1.28897111800966,2616093.1,2,Wednesday,6,June
2024-06-27,123500,21.680510364372466,4.909178056680162,1.2942181425286508,2677543.03,3,Thursday,6,June
2024-06-28,108268,20.714659086710753,4.1296249122547755,1.3558024795479464,2242734.71,4,Friday,6,June
2024-06-29,106172,19.482163470594884,3.859792318125306,1.4525959367945824,2068460.26,5,Saturday,6,June
2024-06-30,88341,21.35195650943503,6.003349520607646,1.4270807891665989,1886253.19,6,Sunday,6,June
2024-07-01,3,20.03333333333333,4.390000000000001,4.0,60.099999999999994,0,Monday,7,July
2024-07-02,85035,19.403159052154994,6.039561709884166,1.3249668923814997,1649947.63,1,Tuesday,7,July
2024-07-03,77603,19.58571807790936,4.641779828099429,1.362970797505563,1519910.48,2,Wednesday,7,July
2024-07-04,59427,20.62852373500261,5.1531855890420175,1.5093031810877269,1225891.28,3,Thursday,7,July
2024-07-05,71199,19.752408039438755,5.584386578463181,1.4820019016858597,1406351.7,4,Friday,7,July
2024-07-06,72411,20.817125022441342,4.013664360387234,1.5167803665375499,1507388.84,5,Saturday,7,July
2024-07-07,72981,22.725605157506745,10.02514325646401,1.4425793512382281,1658537.39,6,Sunday,7,July
2024-07-08,88265,21.186182405256897,4.869104854698918,1.3315532936707046,1869998.39,0,Monday,7,July
2024-07-09,107219,19.83641434820321,3.8263243454984655,1.2914706030530505,2126840.51,1,Tuesday,7,July
2024-07-10,115169,19.40353714975384,5.633027116672021,1.2889681538330187,2234685.97,2,Wednesday,7,July
2024-07-11,114031,20.39264428094115,4.0683503608667815,1.2965902154007152,2325393.62,3,Thursday,7,July
2024-07-12,98180,19.570367691994296,7.053382155225096,1.3540008148074743,1921418.7,4,Friday,7,July
2024-07-13,97319,19.272996948180726,4.747909760683936,1.4552030587992146,1875628.79,5,Saturday,7,July
2024-07-14,92801,20.766437322873674,8.205072790163898,1.4091173994690152,1927146.15,6,Sunday,7,July
2024-07-15,98761,20.803398203744393,4.7589334858901795,1.3066678674757117,2054564.41,0,Monday,7,July
2024-07-16,123539,19.658320530358832,4.184964262297735,1.2813584485478333,2428569.26,1,Tuesday,7,July
2024-07-17,124058,19.559841203308128,3.1338473939608895,1.2769290630992858,2426554.78,2,Wednesday,7,July
2024-07-18,116429,20.882759020518943,4.840546427436463,1.2921006110449254,2431358.75,3,Thursday,7,July
2024-07-19,101883,20.182956823022487,6.515827665066793,1.359533742061177,2056300.19,4,Friday,7,July
2024-07-20,102117,19.720824936102705,5.006210817004025,1.4534409746597523,2013831.48,5,Saturday,7,July
2024-07-21,89355,21.217938895417156,4.605332549941245,1.4256155357762108,1895928.93,6,Sunday,7,July
2024-07-22,91026,20.457532353393535,5.334628347944544,1.3146456618187858,1862167.34,0,Monday,7,July
2024-07-23,105951,20.064015441100132,4.32224924729356,1.2887624907093898,2125802.5,1,Tuesday,7,July
2024-07-24,110555,19.720203337705215,5.8685087060739,1.2926919132071337,2180167.08,2,Wednesday,7,July
2024-07-25,110309,20.55785312168545,4.1771986873237905,1.3141956146834195,2267716.22,3,Thursday,7,July
2024-07-26,95562,20.045702161947215,8.603135555974132,1.378395486751216,1915607.39,4,Friday,7,July
2024-07-27,93559,19.52417992924251,4.126635705811307,1.4712910107824482,1826662.75,5,Saturday,7,July
2024-07-28,85679,21.050915276788945,5.6521895680388425,1.4267314575332446,1803621.37,6,Sunday,7,July
2024-07-29,84891,20.347134325193483,3.816481605823939,1.3250512263653207,1727288.58,0,Monday,7,July
2024-07-30,99480,19.12134529553679,4.02254634097306,1.294650970888998,1902191.43,1,Tuesday,7,July
2024-07-31,106295,19.538742744249493,4.023381344371796,1.2935154611238797,2076870.66,2,Wednesday,7,July
2024-08-01,29,21.548275862068966,4.044827586206896,1.0,624.9,3,Thursday,8,August
2024-08-02,103173,19.52991024783616,4.726582245354889,1.36733886065793,2014959.43,4,Friday,8,August
2024-08-03,109379,19.85977390541146,5.395235282823943,1.4497053560233892,2172242.21,5,Saturday,8,August
2024-08-04,83728,21.53310386011848,9.831233518058475,1.4320007460002397,1802923.72,6,Sunday,8,August
2024-08-05,90966,20.634548072906362,4.327193676758349,1.3314382099340638,1877042.3,0,Monday,8,August
2024-08-06,114790,19.55749307430961,3.1495072741528007,1.299959571457449,2245004.63,1,Tuesday,8,August
2024-08-07,106661,20.45058428103993,4.814186441154686,1.2924923702950153,2181279.77,2,Wednesday,8,August
2024-08-08,105579,20.167315375216663,3.4058456700669644,1.2998340344248092,2129244.99,3,Thursday,8,August
