date,trip_count,avg_fare,avg_distance,avg_passenger_count,total_revenue,day_of_week,day_name,month,month_name
2024-09-02,77466,23.5489950429866,5.446640203444091,1.4337410425636519,1824246.45,0,Monday,9,September
2024-09-03,99211,21.619844372095834,5.1422139682091705,1.285567589770197,2144926.38,1,Tuesday,9,September
2024-09-04,114034,20.727862304225056,4.545321044600733,1.2652268843744068,2363681.05,2,Wednesday,9,September
2024-09-05,124915,20.731723411920104,5.130979706200216,1.2710247977957514,2589703.23,3,Thursday,9,September
2024-09-06,122496,20.202863440438872,4.397935279519331,1.312806807531342,2474769.96,4,Friday,9,September
2024-09-07,120640,19.98363950596817,5.527821866710875,1.3933595235077938,2410826.27,5,Saturday,9,September
2024-09-08,108685,21.177861158393522,6.330314026774625,1.361538717292283,2301715.84,6,Sunday,9,September
2024-09-09,103867,20.966320390499387,6.805709224296455,1.249667641584685,2177708.8,0,Monday,9,September
2024-09-10,2,11.05,1.2449999999999999,1.0,22.1,1,Tuesday,9,September
2024-09-11,115628,19.732651952814198,4.119646279447885,1.2430118915796062,2281647.08,2,Wednesday,9,September
2024-09-12,132326,20.30887029004126,7.974390898236174,1.2520689036732113,2687391.57,3,Thursday,9,September
2024-09-13,122344,19.787375024521022,5.739902324592951,1.3110943956734522,2420866.61,4,Friday,9,September
2024-09-14,128877,19.390501408319558,6.025655547537575,1.4112531181076577,2498989.65,5,Saturday,9,September
2024-09-15,109653,21.92637957921808,9.12785149517113,1.3782675083753049,2404293.3,6,Sunday,9,September
2024-09-16,102975,20.796722311240593,5.7027376547705755,1.248356425466304,2141542.48,0,Monday,9,September
2024-09-17,122780,19.629077211272193,7.186535999348428,1.2361926075525596,2410058.1,1,Tuesday,9,September
2024-09-18,129100,20.019559643687064,5.718835321456235,1.236967937126165,2584525.15,2,Wednesday,9,September
2024-09-19,135770,20.66719591956986,5.246559254621786,1.2518324651389812,2805985.19,3,Thursday,9,September
2024-09-20,128226,20.506052594637595,5.437114469764323,1.3040353687677313,2629409.1,4,Friday,9,September
